#,Item ID,Source / Scoring Role,Domain(s),Body Region,Question Text,Response Options,Design Note
SECTION 1 - SELF-CARE AND PERSONAL HYGIENE,,,,,,,
15,PFC46,PROMIS PF SF 20a (scored),Transfer bed-chair,"Upper extremity, Lower extremity, cervical spine, thoracic spine, lumbar spine",Are you able to transfer from a bed to a chair and back?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,The named bed-to-chair transfer.
17,PFA51,PROMIS PF SF 20a (scored),Transfer (bed),"Upper extremity, Lower extremity, cervical spine, thoracic spine, lumbar spine",Are you able to sit on the edge of a bed?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,
18,PFA20,Bank add-on (unscored),Feeding,"Upper extremity, cervical spine",Are you able to cut your food using eating utensils?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,
19,PFB29r1,Bank add-on (unscored),Feeding,"Upper extremity, cervical spine",Are you able to lift a full cup or glass to your mouth?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,"Collapsed response codes (4/3/2/1/1) - descriptive use only, so not an issue."
20,SUP-C1,Supplemental (unscored),Continence (bladder),General,How often do you leak urine or have trouble controlling your bladder?,5=Never; 4=Rarely; 3=Sometimes; 2=Often; 1=Always,No PROMIS PF item exists; screener flags for history/exam follow-up.
21,SUP-C2,Supplemental (unscored),Continence (bowel),General,How often do you have trouble controlling your bowels?,5=Never; 4=Rarely; 3=Sometimes; 2=Often; 1=Always,
22,SUP-08,Supplemental (unscored),Aids and devices,General,Which of the following do you currently use because of your condition?,Check all currently used: none; wrist or thumb splint; elbow or shoulder brace; knee brace; ankle brace; reacher or grabber; sock aid or long-handled shoe horn; long-handled sponge; button hook or zipper pull; built-up utensils; jar opener; grab bars; raised toilet seat; shower or tub bench; bed rail; cane; two canes; crutch; two crutches; walker; wheelchair; cervical collar; lumbar support; orthotic shoe insert,Restores the HAQ aids/devices modifier.
SECTION 2 - COMMUNICATION,,,,,,,
24,PFA43,Neuro-QOL UE SF (scored),Writing,"Upper extremity, cervical spine",Are you able to write with a pen or pencil?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,Scored on Neuro-QOL UE.
25,NQUEX44,Neuro-QOL UE SF (scored),Phone (keypad),"Upper extremity, cervical spine",Are you able to make a phone call using a touch tone key-pad?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,Scored on Neuro-QOL UE.
26,SUP-36,Supplemental (unscored),Typing,"Upper extremity, cervical spine",Are you able to type on a keyboard and use a mouse?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,No bank item covers typing.
28,SUP-71,Supplemental (unscored),Cell phone,"Upper extremity, cervical spine","Are you able to use a cell phone, including tapping or swiping the screen and holding it to your ear?",5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,Modern complement to NQUEX44.
SECTION 3 - PHYSICAL ACTIVITY AND MOBILITY,,,,,,,
30,SUP-11,Supplemental (unscored),Sitting,"Cervical spine, thoracic spine, lumbar spine, lower extremity",Are you able to sit in an ordinary chair for about 30 minutes?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,No sitting item exists anywhere in PROMIS PF - the largest confirmed gap.
31,SUP-13,Supplemental (unscored),Standing tolerance,"Cervical spine, thoracic spine, lumbar spine, lower extremity",Are you able to stand in one place for about 30 minutes?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,
39,PFC36r1,PROMIS PF SF 20a (scored),Walking,"Lumbar spine, lower extremity",Does your health now limit you in walking more than a mile (1.6 km)?,5=Not at all; 4=Very little; 3=Somewhat; 2=Quite a lot; 1=Cannot do,"With the two above, a three-point walking gradient."
40,PFB24,PROMIS PF SF 20a (scored),Walking (speed),"Lumbar spine, lower extremity","Are you able to run a short distance, such as to catch a bus?",5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,
41,PFC37,PROMIS PF SF 20a (scored),Stairs,"Lumbar spine, lower extremity",Does your health now limit you in climbing one flight of stairs?,5=Not at all; 4=Very little; 3=Somewhat; 2=Quite a lot; 1=Cannot do,
42,PFA21,Bank add-on (unscored),Stairs (descent),"Lumbar spine, lower extremity",What best describes your ability to go up and down stairs,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,Adds the descent direction the short forms omit.
43,PFA1,PROMIS PF SF 20a (scored),Vigorous activity,General,"Does your health now limit you in doing vigorous activities, such as running, lifting heavy objects, participating in strenuous sports?",5=Not at all; 4=Very little; 3=Somewhat; 2=Quite a lot; 1=Cannot do,
44,PFA3,PROMIS PF SF 20a (scored),Bend/kneel/stoop,"Lumbar spine, lower extremity","Does your health now limit you in bending, kneeling, or stooping?",5=Not at all; 4=Very little; 3=Somewhat; 2=Quite a lot; 1=Cannot do,
45,PFA41,Bank add-on (unscored),Squatting,"Lumbar spine, lower extremity, upper extremity",Are you able to squat and get up?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,Decomposes PFA3's bundle.
46,PFC40,Bank add-on (unscored),Kneeling,"Lumbar spine, lower extremity",Are you able to kneel on the floor?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,
50,PFC12,PROMIS PF SF 20a (scored),Workday (half),General,Does your health now limit you in doing two hours of physical labor?,5=Not at all; 4=Very little; 3=Somewhat; 2=Quite a lot; 1=Cannot do,
71,SUP-29,Supplemental (unscored),Floor-to-waist lift,"Upper extremity, Lower extremity, cervical spine, thoracic spine, lumbar spine",What is the heaviest weight you are able to lift from the floor to waist height?,5=A case of water bottles from Costco (44lbs/20kg); 4=A small child (25lbs/12kg); 3=A shopping bag (10lbs/5kg); 2=Can of soup (1lb/2 kg); 1=Unable to lift from the floor,Bank alternative PFM38 (50-lb sand bag) floors out for impaired patients; a graded scale rates better.
74,PFA11,PROMIS PF SF 20a (scored),Chores,"Upper extremity, Lower extremity, cervical spine, thoracic spine, lumbar spine",Are you able to do chores such as vacuuming or yard work?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,
75,PFA5,PROMIS PF SF 20a (scored),Chores,"Upper extremity, Lower extremity, cervical spine, thoracic spine, lumbar spine",Does your health now limit you in lifting or carrying groceries?,5=Not at all; 4=Very little; 3=Somewhat; 2=Quite a lot; 1=Cannot do,
SECTION 4 - SENSORY FUNCTION,,,,,,,
52,SUP-74,Supplemental (unscored),Seeing,General,How much difficulty do you have seeing (with glasses or contacts if you use them) - for example reading ordinary print or recognizing faces?,5=No difficulty; 4=Mild difficulty; 3=Moderate difficulty; 2=Severe difficulty; 1=Unable / profound difficulty,Screeners only; PROMIS PF has no sensory items.
53,SUP-75,Supplemental (unscored),Hearing,General,How much difficulty do you have hearing (with a hearing aid if you use one) - for example following a conversation?,5=No difficulty; 4=Mild difficulty; 3=Moderate difficulty; 2=Severe difficulty; 1=Unable / profound difficulty,
54,SUP-76,Supplemental (unscored),Tactile (touch),"Upper extremity, lower extremity, cervical spine, lumbar spine","How much difficulty do you have feeling things with your hands or feet - for example numbness, tingling, or trouble sensing hot and cold?",5=No difficulty; 4=Mild difficulty; 3=Moderate difficulty; 2=Severe difficulty; 1=Unable / profound difficulty,Also supports the tactile-discrimination side of hand function.
55,SUP-77,Supplemental (unscored),Taste,General,How much difficulty do you have tasting food and drink?,5=No difficulty; 4=Mild difficulty; 3=Moderate difficulty; 2=Severe difficulty; 1=Unable / profound difficulty,
56,SUP-78,Supplemental (unscored),Smell,General,"How much difficulty do you have smelling things, such as food or smoke?",5=No difficulty; 4=Mild difficulty; 3=Moderate difficulty; 2=Severe difficulty; 1=Unable / profound difficulty,Smoke detection is a safety-relevant anchor.
SECTION 5 - HAND AND ARM USE (NONSPECIALIZED HAND ACTIVITIES),,,,,,,
57,PFA40,Neuro-QOL UE SF (scored),Grasping (key pinch),"Upper extremity, cervical spine",Are you able to turn a key in a lock?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,Scored on Neuro-QOL UE.
58,PFB21,Neuro-QOL UE SF (scored),Tactile discrimination,"Upper extremity, cervical spine",Are you able to pick up coins from a table top?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,Scored on Neuro-QOL UE.
59,PFC42,Bank add-on (unscored),Grasping (torque),"Upper extremity, cervical spine",Are you able to open a tight or new jar?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,
62,PFA14r1,PROMIS UE SF 7a (scored),Lifting,"Upper extremity, cervical spine, lumbar spine, thoracic spine, lower extremity",Are you able to carry a heavy object (over 10 pounds /5 kg)?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,Scored on UE 7a.
63,PFB13,PROMIS UE SF 7a (scored),Carrying,"Upper extremity, cervical spine, lumbar spine, thoracic spine, lower extremity",Are you able to carry a shopping bag or briefcase?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,Scored on UE 7a.
64,PFB28r1,PROMIS UE SF 7a (scored),Lifting (overhead),"Upper extremity, cervical spine, thoracic spine",Are you able to lift 10 pounds (5 kg) above your shoulder?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,Scored on UE 7a.
65,PFB34,PROMIS UE SF 7a (scored),Reach (overhead),"Upper extremity, cervical spine, thoracic spine",Are you able to change a light bulb overhead?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,Scored on UE 7a.
66,PFM16r,PROMIS UE SF 7a (scored),Lifting (bilateral),"Cervical spine, upper extremity",Are you able to pass a large and heavy platter of food to other people at the table?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,Scored on UE 7a.
68,PFA12,PROMIS PF SF 20a (scored),Pushing,"Cervical spine, upper extremity, thoracic spine",Are you able to push open a heavy door?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,
69,PFB19r1,PROMIS PF SF 20a (scored),Grip (force),"Cervical spine, upper extremity",Are you able to squeeze a new tube of toothpaste?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,Scored on PF 20a (calibrated with collapsed codes).
70,PFB22,PROMIS PF SF 20a (scored),Static hold,"Cervical spine, upper extremity, thoracic spine",Are you able to hold a plate full of food?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,
SECTION 7 - TRAVEL,,,,,,,
76,PFA56,PROMIS PF SF 20a (scored),Travel,"Upper extremity, Lower extremity, cervical spine, thoracic spine, lumbar spine",Are you able to get in and out of a car?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,Also anchors the Travel section.
77,SUP-xx,Supplemental (unscored),Riding in a car,"Lower extremity, cervical spine, thoracic spine, lumbar spine",Are you able to sit in a car for 1 hour without stopping?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,
79,SUP-59,Supplemental (unscored),Driving (controls),"Upper extremity, Lower extremity, cervical spine, thoracic spine, lumbar spine","Are you able to grip and turn the steering wheel, and reach the pedals comfortably?",5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,Blind-spot check covered by SUP-22 in Section 3.
80,SUP-61,Supplemental (unscored),Public transit,General,Are you able to take a bus or train?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,
81,SUP-80,Supplemental (unscored),Air travel,"Upper extremity, Lower extremity, cervical spine, thoracic spine, lumbar spine","Are you able to travel by plane, including walking through the airport and sitting through the flight?",5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,"Composite of walking distance, sitting tolerance, and luggage handling."
"SECTION 8 - SLEEP, SEXUAL FUNCTION, AND OVERALL",,,,,,,
82,SUP-81,Supplemental (unscored),Sleep quality,General,"In the past 7 days, how would you rate your sleep quality overall?",5=Very good; 4=Good; 3=Fair; 2=Poor; 1=Very poor,Screener only per design choice; swap in PROMIS Sleep Disturbance 4a if a T-score is later wanted.
83,SUP-82,Supplemental (unscored),Sleep disruption,General,"In the past 7 days, how often did pain or your condition wake you up or keep you from falling asleep?",5=Never; 4=Rarely; 3=Sometimes; 2=Often; 1=Always,
84,SUP-83,Supplemental (unscored),Sexual function,General,"In the past 30 days, how much has your condition interfered with your sexual activity?",5=Not at all; 4=A little bit; 3=Somewhat; 2=Quite a bit; 1=Very much (a 'Prefer not to answer' box is provided),Single screener with explicit 'Prefer not to answer'; swap in PROMIS SexFS Brief if a scored measure is later wanted.
85,Global07,Supplemental (unscored),Pain intensity,General,"In the past 7 days, how would you rate your pain on average?","0-10 numeric rating scale (0=No pain, 10=Worst pain imaginable)",Standard PROMIS Global pain NRS; anchors symptom context.
,,,,,,,
SCORING ARCHITECTURE,,,,,,,
"86 items administered. Three composite T-scores from intact published short forms: PROMIS Physical Function SF 20a (20 items), PROMIS Upper Extremity SF 7a (7 items), Neuro-QOL Upper Extremity Fine Motor/ADL SF (8 items) - 35 scored responses from 32 administered items, because PFA55 and PFB26 each feed PF 20a + Neuro-QOL, and PFA34 feeds PF 20a + UE 7a. Score each form with its published raw-score-to-T-score lookup table (HealthMeasures).",,,,,,,
23 bank add-on items are calibrated PROMIS/Neuro-QOL items used descriptively (unscored). They are legitimate to administer standalone; do not add them to the short-form raw scores.,,,,,,,
31 supplemental items (SUP-) are non-validated screeners written in PROMIS style. Report qualitatively. Never combine with T-scores.,,,,,,,
"Color key in Source column: blue = PF 20a, green = UE 7a, yellow = Neuro-QOL UE (or shared), grey = bank add-on, orange = supplemental.",,,,,,,
,,,,,,,
DESIGN DECISIONS,,,,,,,
"PF 20a chosen over PF 24a (PROMIS-HAQ) as the scored backbone: the two share 6 items and measure the same construct, 20a has the cleaner pure-PF lookup table, and the 24a's unique ADL content (feeding, bed transfer, walking a block) is restored via bank add-ons PFA20, PFB29r1, PFC53, PFC6r1.",,,,,,,
"Domains with no PROMIS coverage anywhere (confirmed against all 176 bank items): sitting tolerance, cervical function, typing, driving, continence, all five senses, sleep, sexual function. These are supplemental by necessity, per the agreed screener-only approach.",,,,,,,
"Gaps filled bank-first per instruction. The one deliberate exception: floor-to-waist lifting uses graded supplemental SUP-29 rather than bank item PFM38 (50-lb sand bag), which floors out for impaired respondents; PFM38 remains available if bank purity is preferred.",,,,,,,
"Administration: self-report, paper or verbal. Estimated completion 12-18 minutes. Items grouped by section and response scale to reduce respondent burden.",,,,,,,
"OA-Knee SF 13a is not included; append it unchanged as a condition-specific module for knee claims (13 items, own score).",,,,,,,
,,,,,,,
DOMAIN COVERAGE CHECKLIST (user specification),,,,,,,
"Self-care: bathing (PFA55, PFA34, PFA38, PFB26, PFC54) | dressing (PFA16r1, PFB17, PFA36, PFA35) | grooming (PFB18, NQUEX39) | dental (PFA50) | toileting (PFC45r1, PFC51) | bed-chair transfer (PFC46, PFC53, PFA51) | continence (SUP-C1, SUP-C2) | feeding (PFA20, PFB29r1).",,,,,,,
"Communication: writing (PFA43) | typing (SUP-36, SUP-37) | cell phone (NQUEX44, SUP-71) | speaking (SUP-72) | seeing/hearing covered under Sensory.",,,,,,,
"Physical activity: sitting (SUP-11, SUP-12) | standing (PFB32, PFA10) | reclining (PFC52, PFC47, SUP-73) | walking (PFC6r1, PFA23, PFC36r1, PFB24) | stairs (PFC37, PFA21).",,,,,,,
Sensory: seeing (SUP-74) | hearing (SUP-75) | tactile (SUP-76) | taste (SUP-77) | smell (SUP-78).,,,,,,,
"Nonspecialized hand activities: grasping (PFA40, PFC42, PFB19r1, NQUEX15) | lifting (PFA14r1, PFB13, PFB28r1, PFM16r, SUP-29, PFA29r1, PFA12) | tactile discrimination (PFB21, SUP-76, SUP-42).",,,,,,,
"Travel: riding in a car (SUP-79, PFA56) | driving (SUP-58, SUP-59, SUP-22) | plane (SUP-80) | public transit (SUP-61).",,,,,,,
"Sexual function: SUP-83 (screener, prefer-not-to-answer option). Sleep: SUP-81, SUP-82.",,,,,,,
Every domain in the specification is covered by at least one item.,,,,,,,
